itemNumber,modelNumber,shortDescription,mainHeading,mainDescription,bullets,specifications,specVersions,brandName,packagedWeight,dateModified,category_id,categoryPathIDs,categoryPathTitle,categoryPathUrl,stockLevelHint,sspGBP,featured_image,product_image_gallery
100.316UK,,Digital 3.5mm Wired Earphones,Digital 3.5mm Wired Earphones,Sleek and stylish earphones that provide both great sound performance and convenient features. Digital technology delivers impressive HiFi quality sound and an inline hands-free microphone and track control gives you the ability to listen to and take control of your favourite tunes or make and receive calls on the move.,"Digital technology delivers impressive sound performance[br]In-line hands-free microphone and track control/volume buttons[br]Sleek, ergonomic design[br]Compatible with a wide range of 3.5mm devices",Speaker : drivers[tab]10mmØ[br]Impedance[tab]32 Ohms[br]Frequency response[tab]20hz-20khz[br]Cable : length[tab]1.2m[br]Connector[tab]3.5mm[br]Weight[tab]12g,,AV:Link,0.0415,18/01/2024 15:16,214,"1,203,214",Headphones -> Earphones,headphones/earphones,500+,5.99,https://www.avsl.com/assets/images/1/0/100316UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100316UK_LS2.jpg
100.331UK,EM9B,EM9B Round mini in-ear earphones,Mini Round Earphones,"These lightweight stereo earphones have a sleek round shape, compact earbuds and premium sound quality. This gives the user maximum comfort, making them the perfect companion for all mp3 players, laptops, tablets, radios and other audio devices.",1.2m lead[br]3.5mm stereo jack plug[br]Provides clear and full sound[br]Fitted with 10mmØ super bass ferrite magnet drivers[br]Perfect for small ear canals,Frequency response[tab]20Hz-20kHz[br]Impedance[tab]32 Ohms[br]Sensitivity[tab]98dB ±3dB[br]Power[tab]100mW[br]Connector[tab]3.5mm stereo jack[br]Cable[tab]1.2m[br]Dimensions[tab]12 x 17 x 12mm[br]Weight[tab]32g,Colour[tab]Black,AV:Link,0.03,01/03/2022 12:34,214,"1,203,214",Headphones -> Earphones,headphones/earphones,100+,2.49,https://www.avsl.com/assets/images/1/0/100331UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100331UK_CO1.jpg
100.363UK,EC9W,"In ear stereo earphones, White, EC9W",Stereo Earphones,"These stereo earphones combine a lightweight design, premium sound quality, and maximum comfort. The earbuds are made from soft silicone, ensuring a perfect and comfortable fit. Suitable for a wide variety of audio devices.",Produce clear and full sound[br]Fitted with 10mmØ super bass ferrite magnetic drivers[br]1.2m lead with a 3.5mm stereo jack plug[br]Spare earbuds included,Lead length[tab]1.2m[br]Power[tab]10mW[br]Connector[tab]3.5mm stereo jack[br]Speaker size[tab]10mmØ[br]Frequency response[tab]20Hz-20kHz[br]Impedance[tab]16 Ohms[br]Sensitivity[tab]98+/-3dB[br]Dimensions[tab]22 x 9 x 129mm[br]Weight[tab]42g,Colour[tab]White,AV:Link,0.02,21/10/2022 10:31,214,"1,203,214",Headphones -> Earphones,headphones/earphones,0,2.49,https://www.avsl.com/assets/images/1/0/100363UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100363UK_LS1.jpg
100.364UK,EC9B,"In ear stereo earphones, Black, EC9B",Stereo Earphones,"These stereo earphones combine a lightweight design, premium sound quality, and maximum comfort. The earbuds are made from soft silicone, ensuring a perfect and comfortable fit. Suitable for a wide variety of audio devices.",Produce clear and full sound[br]Fitted with 10mmØ super bass ferrite magnetic drivers[br]1.2m lead with a 3.5mm stereo jack plug[br]Spare earbuds included,Lead length[tab]1.2m[br]Power[tab]10mW[br]Connector[tab]3.5mm stereo jack[br]Speaker size[tab]10mmØ[br]Frequency response[tab]20Hz-20kHz[br]Impedance[tab]16 Ohms[br]Sensitivity[tab]98+/-3dB[br]Dimensions[tab]22 x 9 x 129mm[br]Weight[tab]42g,Colour[tab]Black,AV:Link,0.02,21/10/2022 10:31,214,"1,203,214",Headphones -> Earphones,headphones/earphones,66,1.99,https://www.avsl.com/assets/images/1/0/100364UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100364UK_CO1.jpg
100.439UK,SH30,SH30 Lightweight Stereo Headphones.,Lightweight Stereo Headphones,"Stylish stereo headphones with an adjustable headband and low-profile padded earcups. Fitted with Neodymium drivers and an unobtrusive 1.2m lead, enhancing sound and listening experience, particularly with personal audio devices.","Adjustable plastic headband[br]High power drivers with anisotropic magnets[br]Flexible 1.2m cable with a right angle 3.5mm stereo plug[br]Fold-flat earcups for safe, space-saving storage",Cable[tab]1.1m (±10%)[br]Connector[tab]3.5mm stereo jack[br]Frequency response[tab]20Hz-20kHz[br]Impedance[tab]32 Ohms[br]Power[tab]100mW[br]Sensitivity[tab]102dB @ 1kHz[br]Speaker size[tab]30mmØ,,AV:Link,0.165,22/09/2022 11:48,213,"1,203,213",Headphones -> Lightweight,headphones/lightweight,0,6.49,https://www.avsl.com/assets/images/1/0/100439UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100439UK_LS1.jpg
100.530UK,PH10-BLK,Multimedia Headphones with in-line Microphone,Multimedia Headphones with Inline Microphone,"A range of stylish multimedia headphones, perfect for listening to music whilst on the move. With an inline microphone, allowing for hands-free calls, these headphones offer an impressive listening experience with dynamic bass technology. The lightweight and cushioned design offers more comfort for long time wearing, and when you are done, simply fold them away and store in the carry pouch.",Bright and attractive colour scheme[br]Soft adjustable headband and cushioned earcups[br]Convenient removable 3.5mm audio lead[br]Inline microphone and hands-free control[br]Folds away for compact storage[br]Dynamic bass technology,Driver[tab]40mm ­Ø[br]Frequency response[tab]12Hz - 22kHz[br]Impedance[tab]32 Ohms at 1kHz[br]Sensitivity[tab]108dB/mW[br]Cable : length[tab]1.0m,Colour[tab]Black with red trim,AV:Link,0.27,02/05/2023 15:22,213,"1,203,213",Headphones -> Lightweight,headphones/lightweight,100+,10.99,https://www.avsl.com/assets/images/1/0/100530UK_CO2.JPG,https://www.avsl.com/assets/images/1/0/100530UK_CO1.JPG
100.547UK,PowerBand,Neckband Bluetooth Earphones with Vibration,PowerBand: Neckband Bluetooth Earphones,"Power at your fingertips, our neckband Bluetooth earphones are designed for busy lives at home, work or on the go. Supplied with earhooks and 3 sizes of earbuds, each earpiece can be tailored to the unique shape of your ear. The lightweight, splash proof design delivers heavyweight sound, with intuitive inline controls for volume, track selection and hands-free phone calls and an inbuilt vibration motor that notifies you of an incoming call when the earbuds aren't in use. Up to 12 hours playback is available from a single charge, with the added security of a 15 minute fast charge function providing 6.5 hours use when you unexpectedly run out of juice. Bluetooth v5.0 provides speedy wireless connectivity within a 10m range and the provided soft carry pouch can be used to keep your earphones safe and secure when not in use.","IPX4-rated splashproof design; ideal for outdoor activities[br]Magnetic earbuds and ribbon cable for tangle-free storage[br]Detachable earhooks for comfort and security, even while active[br]Inline hands-free mic and volume/track controller[br]Bluetooth v5.0 connectivity with up to 10m wireless range[br]Fast charge facility with up to 6.5 hours usage from a 15 minute charge[br]Built-in vibration motor for incoming call alert function[br]Supplied with carry pouch and 3 sizes of earbud[br]iOS and Android compatible",Frequency response[tab]20Hz-20kHz[br]Sensitivity[tab]95dB[br]Impedance[tab]32 Ohms[br]IP rating[tab]IPX4[br]Power : battery[tab]Lithium ion 140mAh[br]Charge time[tab]45 mins (15 mins fast charge)[br]Battery life[tab]Up to 12 hours (6.5 hours fast charge)[br]Bluetooth version[tab]V5.0[br]Bluetooth range[tab]up to 10m (in clear line of sight)[br]Weight[tab]28g,,AV:Link,0.115,27/07/2022 14:00,207,"1,203,204,207",Headphones -> Bluetooth -> Earphones,headphones/bluetooth/earphones,100+,14.99,https://www.avsl.com/assets/images/1/0/100547UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100547UK_PS1.jpg
100.550UK,PBH10-BLK,Wireless Bluetooth Headphones Black,Wireless Bluetooth Headphones,"These incredible rechargeable wireless headphones are great for listening to your music whilst on the move. Pair via Bluetooth with your smart device and control your media with the MP3 function control keys on the edge of the earcup. Alternatively play MP3 or WAV media files from a micro SD card using the slot in the side of the earcup. In-built is an FM radio and a microphone allowing hands free calls.   These headphones offer a fantastic listening experience with dynamic bass technology. The noise cancelling effect blocks out background noise making them perfect for use on public transport.  Lightweight and comfortable, you can relax into your music, and when you are done, fold them away and store in the carry pouch.","Noise cancelling effect, perfect for cutting out low noises from planes or trains[br]Wireless Bluetooth connectivity[br]Internal rechargeable battery with up to 8 hours playback[br]SD card slot (max capacity 32GB)[br]Built-in microphone for hands free calls[br]Dynamic bass technology[br]Folds away for compact storage","Speaker size[tab]40mmØ dome[br]Frequency response[tab]12Hz - 22kHz[br]Sensitivity[tab]108dB/mW[br]Impedance[tab]32 Ohms at 1kHz[br]Connections[tab]Bluetooth, 3.5mm stereo jack, micro USB for charging[br]Weight[tab]142g[br]Dimensions[tab]190 x 150 x 70mm[br]Power supply[tab]Internal rechargable Lithium Ion battery[br]Battery life : Bluetooth playback[tab]Up to 4 hours[br]Bluetooth version[tab]3.0[br]Bluetooth range[tab]Up to 10m (clear line of sight)[br]Battery life : SD card playback[tab]Up to 8 hours",Colour[tab]Black,AV:Link,0.27,24/11/2023 8:56,205,"1,203,204,205",Headphones -> Bluetooth -> Full Size,headphones/bluetooth/full-size,100+,19.99,https://www.avsl.com/assets/images/1/0/100550UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100550UK_GS4.jpg
100.553UK,PBH10-BLU,Wireless Bluetooth Headphones Blue,Wireless Bluetooth Headphones,"These incredible rechargeable wireless headphones are great for listening to your music whilst on the move. Pair via Bluetooth with your smart device and control your media with the MP3 function control keys on the edge of the earcup. Alternatively play MP3 or WAV media files from a micro SD card using the slot in the side of the earcup. In-built is an FM radio and a microphone allowing hands free calls.   These headphones offer a fantastic listening experience with dynamic bass technology. The noise cancelling effect blocks out background noise making them perfect for use on public transport.  Lightweight and comfortable, you can relax into your music, and when you are done, fold them away and store in the carry pouch.","Noise cancelling effect, perfect for cutting out low noises from planes or trains[br]Wireless Bluetooth connectivity[br]Internal rechargeable battery with up to 8 hours playback[br]SD card slot (max capacity 32GB)[br]Built-in microphone for hands free calls[br]Dynamic bass technology[br]Folds away for compact storage","Speaker size[tab]40mmØ dome[br]Frequency response[tab]12Hz - 22kHz[br]Sensitivity[tab]108dB/mW[br]Impedance[tab]32 Ohms at 1kHz[br]Connections[tab]Bluetooth, 3.5mm stereo jack, micro USB for charging[br]Weight[tab]142g[br]Dimensions[tab]190 x 150 x 70mm[br]Power supply[tab]Internal rechargable Lithium Ion battery[br]Battery life : Bluetooth playback[tab]Up to 4 hours[br]Bluetooth version[tab]3.0[br]Bluetooth range[tab]Up to 10m (clear line of sight)[br]Battery life : SD card playback[tab]Up to 8 hours",Colour[tab]Blue,AV:Link,0.27,24/11/2023 8:56,205,"1,203,204,205",Headphones -> Bluetooth -> Full Size,headphones/bluetooth/full-size,100+,19.99,https://www.avsl.com/assets/images/1/0/100553UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100553UK_IN2.jpg
100.554UK,PBH10-PNK,Wireless Bluetooth Headphones Pink,Wireless Bluetooth Headphones,"These incredible rechargeable wireless headphones are great for listening to your music whilst on the move. Pair via Bluetooth with your smart device and control your media with the MP3 function control keys on the edge of the earcup. Alternatively play MP3 or WAV media files from a micro SD card using the slot in the side of the earcup. In-built is an FM radio and a microphone allowing hands free calls.   These headphones offer a fantastic listening experience with dynamic bass technology. The noise cancelling effect blocks out background noise making them perfect for use on public transport.  Lightweight and comfortable, you can relax into your music, and when you are done, fold them away and store in the carry pouch.","Noise cancelling effect, perfect for cutting out low noises from planes or trains[br]Wireless Bluetooth connectivity[br]Internal rechargeable battery with up to 8 hours playback[br]SD card slot (max capacity 32GB)[br]Built-in microphone for hands free calls[br]Dynamic bass technology[br]Folds away for compact storage","Speaker size[tab]40mmØ dome[br]Frequency response[tab]12Hz - 22kHz[br]Sensitivity[tab]108dB/mW[br]Impedance[tab]32 Ohms at 1kHz[br]Connections[tab]Bluetooth, 3.5mm stereo jack, micro USB for charging[br]Weight[tab]142g[br]Dimensions[tab]190 x 150 x 70mm[br]Power supply[tab]Internal rechargable Lithium Ion battery[br]Battery life : Bluetooth playback[tab]Up to 4 hours[br]Bluetooth version[tab]3.0[br]Bluetooth range[tab]Up to 10m (clear line of sight)[br]Battery life : SD card playback[tab]Up to 8 hours",Colour[tab]Pink,AV:Link,0.27,24/11/2023 8:56,205,"1,203,204,205",Headphones -> Bluetooth -> Full Size,headphones/bluetooth/full-size,100+,19.99,https://www.avsl.com/assets/images/1/0/100554UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100554UK_IN6.jpg
100.563UK,Ear Shots SE,Ear Shots SE: True Wireless Earphones & Power Case,Ear Shots SE: True Wireless Earphones & Charging Case,"Introducing the next generation of Ear Shots; taking your wireless listening experience to a new level. An improved, compact design offers a more secure fit, intuitive touch controls and true wireless technology, so you can control your music with ease without the hassle of tangling wires. These super light earphones feature dynamic drivers and Bluetooth 5.3 technology for seamless connection to smart devices. An inbuilt microphone and hands-free function allow for more freedom when answering calls. Quickly charge your earphones with the charging case providing up to 9 hours additional play time so there’s nothing to hold you back!",Improved design that's smaller in size but greater in performance[br]Intuitive touch controls handle your music and calls with ease[br]Dynamic drivers that deliver a deep immersive sound experience[br]Bluetooth 5.3 connectivity for optimum transmission and connection speed[br]Built-in microphone for hands-free calls[br]iOS and Android compatible[br]Rechargeable with 180mAh charging case,"Speaker : drivers[tab]10mm[br]Frequency response[tab]20Hz-20kHz[br]Sensitivity[tab]-42db[br]Impedance[tab]32 Ohms[br]Power : battery[tab]Earphones: 2x internal 30mAh, Charging Case: 180mAh[br]Battery life[tab]Earphones: 3h max, Charging Case: Up to 9 additional hours playback[br]Standby time[tab]100h[br]Charge time[tab]Earphones: 1h, Charging Case 1h[br]Bluetooth version[tab]v5.3[br]Bluetooth range[tab]Up to 10m (clear line of sight)[br]Dimensions[tab]Earphones: 33 x 18 x 18mm, Charging Case: 44 x 44mm x 22mm[br]Weight[tab]Earphones: 2 x 2.75g, Charging Case: 30g (including headphones)",,AV:Link,0.082,18/07/2024 12:31,207,"1,203,204,207",Headphones -> Bluetooth -> Earphones,headphones/bluetooth/earphones,100+,14.99,https://www.avsl.com/assets/images/1/0/100563UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100563UK_CO2.jpg
100.582UK,Resonate,Metallic Bluetooth On-Ear Headphones,Resonate: Metallic Bluetooth On-Ear Headphones,"Dynamic bass, cutting-edge metallic design and an array of features combine in these stylish wireless Bluetooth headphones. Earcup controls provide intuitive command over track selection, volume and hands-free operation and soft, over-ear cushions and a padded headband make for long-lasting comfort, whether you’re relaxing or ‘on the move’. The in-built rechargeable Lithium-ion battery provides up to 10 hours use from a single charge and the included soft carry pouch keeps them safe and sound when not being used.","Cutting edge, metallic design offering style and comfort[br]Dynamic bass with crisp, clear highs[br]Rechargeable with up to 10 hours playback[br]Bluetooth 5.0 connectivity up to 10m range[br]Earcup controls for track selection, volume and hands-free[br]Built in mic for hands-free phone calls[br]Storage pouch and 3.5mm audio lead supplied[br]Fully compatible with iOS and Android devices","Power : battery[tab]Internal rechargeable 400mAh Lithium-ion[br]Battery life[tab]Up to 10 hours (playback and talk time)[br]Standby time[tab]Up to 200 hours[br]Charge time[tab]2.5 hours (approx.)[br]Speaker : driver[tab]40mmØ[br]Frequency response[tab]20Hz-20khz[br]Sensitivity[tab]110±3db[br]Impedance[tab]32 Ohms[br]Connections[tab]Bluetooth, 3.5mm stereo jack, micro USB (charging)[br]Bluetooth version[tab]5.0[br]Bluetooth range[tab]Up to 10m (clear line of sight)[br]Dimensions[tab]220 x 170 x 45mm[br]Weight[tab]210g",,AV:Link,0.4499,27/07/2022 14:00,205,"1,203,204,205",Headphones -> Bluetooth -> Full Size,headphones/bluetooth/full-size,100+,23.99,https://www.avsl.com/assets/images/1/0/100582UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100582UK_IN1.jpg
